f1,f2,f3,f4
11/15/19,VUDU,Four Weddings and a Funeral,MGM
11/15/19,VUDU,One Flew Over the Cuckoo's Nest,Warner Bros.
11/15/19,VUDU,His Girl Friday,Tricoast Entertainment
11/15/19,VUDU,His Girl Friday,NULL
11/15/19,VUDU,The First Wives Club,Paramount
11/15/19,VUDU,Leaving Las Vegas,MGM
11/15/19,VUDU,Groundhog Day,Sony
11/15/19,VUDU,Groundhog Day,NBCUniversal
11/15/19,VUDU,As Good as It Gets,Sony
11/15/19,VUDU,Thelma & Louise,Bravo
11/15/19,VUDU,Thelma & Louise,MGM
11/15/19,VUDU,Rain Man,MGM
11/15/19,VUDU,Norm of the North,Lionsgate
11/15/19,VUDU,Beavis and Butt-Head Do America,Paramount
11/15/19,VUDU,The New Guy,Sony
11/15/19,VUDU,Major League,Paramount
11/15/19,VUDU,CHiPs,Warner Bros.
11/15/19,VUDU,The Sweetest Thing,Sony
11/15/19,VUDU,Hot Rod,Paramount
11/15/19,VUDU,The First Wives Club,Paramount
11/15/19,VUDU,Shanghai Noon,Disney
11/15/19,VUDU,The Ant Bully,Warner Bros.
11/15/19,VUDU,The Ant Bully,XiveTV
11/15/19,VUDU,Journey 2: The Mysterious Island,Warner Bros.
11/15/19,VUDU,The Adventures of Tintin,Paramount
11/15/19,VUDU,Hey Arnold! The Movie,Paramount
11/15/19,VUDU,The Adventures of Elmo in Grouchland,Sony
11/15/19,VUDU,The Adventures of Elmo in Grouchland,Universal Television
11/15/19,VUDU,Zathura,Sony
11/15/19,VUDU,Norm of the North,Lionsgate
11/15/19,VUDU,Open Season 2,Sony
11/15/19,VUDU,Escape From Planet Earth,Lionsgate
11/15/19,VUDU,Journey 2: The Mysterious Island,Warner Bros.
11/15/19,VUDU,She's Out of My League,Paramount
11/15/19,VUDU,Swing Vote,Disney
11/15/19,VUDU,"The Goods: Live Hard, Sell Hard",Paramount
11/15/19,VUDU,Analyze This,Warner Bros.
11/15/19,VUDU,Unbreakable,Disney
11/15/19,VUDU,High Fidelity,Disney
11/15/19,VUDU,Racing Stripes,Warner Bros.
11/15/19,VUDU,Mr. 3000,Disney
